C_svc,C_lgs,alpha_nb,ngram,trained,indexing
0.01,0.31000000000000005,0.31000000000000005,1,N,390
0.01,0.31000000000000005,0.31000000000000005,2,N,391
0.01,0.31000000000000005,0.31000000000000005,3,N,392
0.01,0.31000000000000005,0.31000000000000005,4,N,393
0.01,0.31000000000000005,0.31000000000000005,5,N,394
0.01,0.31000000000000005,0.41,1,N,395
0.01,0.31000000000000005,0.41,2,N,396
0.01,0.31000000000000005,0.41,3,N,397
0.01,0.31000000000000005,0.41,4,N,398
0.01,0.31000000000000005,0.41,5,N,399
0.01,0.31000000000000005,0.51,1,N,400
0.01,0.31000000000000005,0.51,2,N,401
0.01,0.31000000000000005,0.51,3,N,402
0.01,0.31000000000000005,0.51,4,N,403
0.01,0.31000000000000005,0.51,5,N,404
0.01,0.31000000000000005,0.6100000000000001,1,N,405
0.01,0.31000000000000005,0.6100000000000001,2,N,406
0.01,0.31000000000000005,0.6100000000000001,3,N,407
0.01,0.31000000000000005,0.6100000000000001,4,N,408
0.01,0.31000000000000005,0.6100000000000001,5,N,409
0.01,0.31000000000000005,0.7100000000000001,1,N,410
0.01,0.31000000000000005,0.7100000000000001,2,N,411
0.01,0.31000000000000005,0.7100000000000001,3,N,412
0.01,0.31000000000000005,0.7100000000000001,4,N,413
0.01,0.31000000000000005,0.7100000000000001,5,N,414
0.01,0.31000000000000005,0.81,1,N,415
0.01,0.31000000000000005,0.81,2,N,416
0.01,0.31000000000000005,0.81,3,N,417
0.01,0.31000000000000005,0.81,4,N,418
0.01,0.31000000000000005,0.81,5,N,419
0.01,0.31000000000000005,0.91,1,N,420
0.01,0.31000000000000005,0.91,2,N,421
0.01,0.31000000000000005,0.91,3,N,422
0.01,0.31000000000000005,0.91,4,N,423
0.01,0.31000000000000005,0.91,5,N,424
0.01,0.31000000000000005,1.01,1,N,425
0.01,0.31000000000000005,1.01,2,N,426
0.01,0.31000000000000005,1.01,3,N,427
0.01,0.31000000000000005,1.01,4,N,428
0.01,0.31000000000000005,1.01,5,N,429
0.01,0.31000000000000005,1.11,1,N,430
0.01,0.31000000000000005,1.11,2,N,431
0.01,0.31000000000000005,1.11,3,N,432
0.01,0.31000000000000005,1.11,4,N,433
0.01,0.31000000000000005,1.11,5,N,434
0.01,0.31000000000000005,1.3,1,N,435
0.01,0.31000000000000005,1.3,2,N,436
0.01,0.31000000000000005,1.3,3,N,437
0.01,0.31000000000000005,1.3,4,N,438
0.01,0.31000000000000005,1.3,5,N,439
0.01,0.31000000000000005,1.6,1,N,440
0.01,0.31000000000000005,1.6,2,N,441
0.01,0.31000000000000005,1.6,3,N,442
0.01,0.31000000000000005,1.6,4,N,443
0.01,0.31000000000000005,1.6,5,N,444
